ds,y
2019-01-01,122.48357076505616
2019-02-01,120.88762586256513
2019-03-01,126.39633742734557
2019-04-01,132.3519913873033
2019-05-01,125.14502260006752
2019-06-01,126.72405205735936
2019-07-01,137.36974828806325
2019-08-01,134.88980522471192
2019-09-01,130.28420701769366
2019-10-01,136.9233265337193
2019-11-01,133.4723852201482
2019-12-01,135.0397722847803
2020-01-01,140.1571797788828
2020-02-01,130.95991456618472
2020-03-01,133.48067399532957
2020-04-01,140.87277288011092
2020-05-01,140.19900229306472
2020-06-01,148.41334192613425
2020-07-01,143.8809322539729
2020-08-01,142.93848149332354
2020-09-01,158.90719121302882
2020-10-01,152.02901323440943
2020-11-01,155.07448312870278
2020-12-01,149.19204854261693
2021-01-01,155.17282321947934
2021-02-01,160.02829715907563
2021-03-01,155.29766369183585
2021-04-01,164.5100690390968
2021-05-01,161.20733286619546
2021-06-01,164.33100493524412
2021-07-01,164.3598879914846
2021-08-01,178.2087593435973
2021-09-01,170.45882966578404
2021-10-01,166.81670851311523
2021-11-01,177.79693508683172
2021-12-01,169.15893964488174
2022-01-01,177.88642323818166
2022-02-01,168.62270201218007
2022-03-01,173.35906975550785
2022-04-01,182.56325354776666
2022-05-01,186.85022763681917
2022-06-01,185.59368351121304
2022-07-01,185.737548061743
2022-08-01,186.3892183641588
2022-09-01,182.08107425868917
2022-10-01,187.45341053697382
2022-11-01,190.3283850925695
2022-12-01,199.49613744688406
2023-01-01,197.50756513205283
2023-02-01,188.5532202758179
2023-03-01,200.56778826802662
2023-04-01,198.60090438739212
2023-05-01,198.72065315636496
2023-06-01,206.74259197052012
2023-07-01,210.4181555072166
2023-08-01,211.4985058587389
2023-09-01,204.22496501546576
2023-10-01,208.4539381207439
2023-11-01,213.23526452543885
2023-12-01,218.0356203724539
2024-01-01,212.34097091603672
2024-02-01,215.38749459036512
2024-03-01,212.36306197207512
2024-04-01,213.49265109012293
2024-05-01,225.11526069091835
2024-06-01,229.41277909022256
2024-07-01,223.85047570788782
2024-08-01,230.80713817367064
2024-09-01,229.17660117786974
2024-10-01,225.72176964802702
2024-11-01,232.33329381701577
2024-12-01,239.79544599022458
2025-01-01,233.50508033076602
2025-02-01,243.08637617380688
2025-03-01,223.74337974270918
2025-04-01,242.5305651534551
2025-05-01,240.43523534119086
